NumericID,Name_Master,configID,Name_Config,name,Category,SubCategory
DETAIL-001861,Co-firing power plant elastomers,co-firing-power-plant-elastomers-ir-polyisoprene-rubber-co-firing-in-electrical-power-plant,IR (Polyisoprene rubber) co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001862,Co-firing power plant elastomers,co-firing-power-plant-elastomers-natural-rubber-co-firing-in-electrical-power-plant,Natural rubber co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001863,Co-firing power plant elastomers,co-firing-power-plant-elastomers-polychloroprene-neoprene-cr-co-firing-in-electrical-power-plant,"Polychloroprene (Neoprene, CR) co-firing in electrical power plant",,Processing,Waste treatment
DETAIL-001864,Co-firing power plant elastomers,co-firing-power-plant-elastomers-pu-polyurethane-co-firing-in-electrical-power-plant,PU (Polyurethane) co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001865,Co-firing power plant elastomers,co-firing-power-plant-elastomers-sbr-styrene-butadiene-rubber-co-firing-in-electrical-power-plant,SBR (Styrene butadiene rubber) co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001866,Co-firing power plant elastomers,co-firing-power-plant-elastomers-silicone-rubber-co-firing-in-electrical-power-plant,Silicone rubber co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001867,Co-firing power plant others,co-firing-power-plant-others-cfrp-co-firing-in-electrical-power-plant,CFRP co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001868,Co-firing power plant others,co-firing-power-plant-others-dmc-co-firing-in-electrical-power-plant,DMC co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001869,Co-firing power plant others,co-firing-power-plant-others-flexible-polymer-foam-co-firing-in-electrical-power-plant,"Flexible Polymer Foam, co-firing in electrical power plant",,Processing,Waste treatment
DETAIL-001870,Co-firing power plant others,co-firing-power-plant-others-gfrp-co-firing-in-electrical-power-plant,GFRP co-firing in electrical power plant,,Processing,Waste treatment
DETAIL-001871,Co-firing power plant others,co-firing-power-plant-others-hardwood-0%-mc-bamboo-cork-co-firing-in-electrical-power-plant,"Hardwood 0% MC, Bamboo, Cork, co-firing in electrical power plant",,Processing,Waste treatment
DETAIL-001872,Co-firing power plant others,co-firing-power-plant-others-hardwood-12%-mc-bamboo-cork-co-firing-in-electrical-power-plant,"Hardwood 12% MC, Bamboo, Cork, co-firing in electrical power plant",,Processing,Waste treatment
